accession	file_path	notes
GCA_000987375.1	data/genomes/phase5_0/GCA_000987375.1.fna	Phase 5.0 main: Candidatus Brocadia fulgida [nitrogen_metabolism]. biomass=Gram_neg
GCA_001896555.1	data/genomes/phase5_0/GCA_001896555.1.fna	Phase 5.0 main: Candidatus Phosphitivorax anaerolimi [phosphate_metabolism]. biomass=Gram_neg
GCA_004028485.1	data/genomes/phase5_0/GCA_004028485.1.fna	Phase 5.0 main: Candidatus Electrothrix communis [cable_bacteria]. biomass=Gram_neg
GCA_009649835.1	data/genomes/phase5_0/GCA_009649835.1.fna	Phase 5.0 main: Candidatus Methanocomedens sp. (ANME-2a lineage) [methane_metabolism]. biomass=Archaea
GCA_009903405.1	data/genomes/phase5_0/GCA_009903405.1.fna	Phase 5.0 main: Candidatus Methanophaga sp. AG-394-G06 (ANME-1 lineage) [methane_metabolism]. biomass=Archaea
GCA_020793565.1	data/genomes/phase5_0/GCA_020793565.1.fna	Phase 5.0 main: Candidatus Methanovorans sp. (ANME-3 lineage) [methane_metabolism]. biomass=Archaea
GCA_026122935.1	data/genomes/phase5_0/GCA_026122935.1.fna	Phase 5.0 main: Candidatus Electronema palustre [cable_bacteria]. biomass=Gram_neg
GCF_000006865.1	data/genomes/phase5_0/GCF_000006865.1.fna	Phase 5.0 main: Lactococcus lactis subsp. lactis IL1403 [fermentation]. biomass=Gram_neg
GCF_000006985.1	data/genomes/phase5_0/GCF_000006985.1.fna	Phase 5.0 main: Chlorobaculum tepidum TLS [phototrophy]. biomass=Gram_neg
GCF_000007185.1	data/genomes/phase5_0/GCF_000007185.1.fna	Phase 5.0 main: Methanopyrus kandleri AV19 [methane_metabolism]. biomass=Archaea
GCF_000007305.1	data/genomes/phase5_0/GCF_000007305.1.fna	Phase 5.0 main: Pyrococcus furiosus DSM 3638 [extreme_archaea]. biomass=Archaea
GCF_000007985.2	data/genomes/phase5_0/GCF_000007985.2.fna	Phase 5.0 main: Geobacter sulfurreducens PCA [iron_metals]. biomass=Gram_neg
GCF_000008625.1	data/genomes/phase5_0/GCF_000008625.1.fna	Phase 5.0 main: Aquifex aeolicus VF5 [carbon_fixation]. biomass=Gram_neg
GCF_000008665.1	data/genomes/phase5_0/GCF_000008665.1.fna	Phase 5.0 main: Archaeoglobus fulgidus VC-16 [sulfur_metabolism]. biomass=Archaea
GCF_000008765.1	data/genomes/phase5_0/GCF_000008765.1.fna	Phase 5.0 main: Clostridium acetobutylicum ATCC 824 [fermentation]. biomass=Gram_neg
GCF_000009705.1	data/genomes/phase5_0/GCF_000009705.1.fna	Phase 5.0 main: Nostoc sp. PCC 7120 [nitrogen_metabolism]. biomass=Gram_neg
GCF_000009725.1	data/genomes/phase5_0/GCF_000009725.1.fna	Phase 5.0 main: Synechocystis sp. PCC 6803 [phototrophy]. biomass=Gram_neg
GCF_000009965.1	data/genomes/phase5_0/GCF_000009965.1.fna	Phase 5.0 main: Thermococcus kodakarensis KOD1 [extreme_archaea]. biomass=Archaea
GCF_000009985.1	data/genomes/phase5_0/GCF_000009985.1.fna	Phase 5.0 main: Paramagnetospirillum magneticum AMB-1 [magnetotaxis]. biomass=Gram_neg
GCF_000010625.1	data/genomes/phase5_0/GCF_000010625.1.fna	Phase 5.0 main: Microcystis aeruginosa NIES-843 [phototrophy]. biomass=Gram_neg
GCF_000010785.1	data/genomes/phase5_0/GCF_000010785.1.fna	Phase 5.0 main: Hydrogenobacter thermophilus TK-6 [sulfur_metabolism]. biomass=Gram_neg
GCF_000011365.1	data/genomes/phase5_0/GCF_000011365.1.fna	Phase 5.0 main: Bradyrhizobium diazoefficiens USDA 110 [nitrogen_metabolism]. biomass=Gram_neg
GCF_000011385.1	data/genomes/phase5_0/GCF_000011385.1.fna	Phase 5.0 main: Gloeobacter violaceus PCC 7421 [phototrophy]. biomass=Gram_neg
GCF_000011485.1	data/genomes/phase5_0/GCF_000011485.1.fna	Phase 5.0 main: Prochlorococcus marinus str. MIT 9313 [phototrophy]. biomass=Gram_neg
GCF_000011585.1	data/genomes/phase5_0/GCF_000011585.1.fna	Phase 5.0 main: Methanococcus maripaludis S2 [nitrogen_metabolism]. biomass=Archaea
GCF_000012345.1	data/genomes/phase5_0/GCF_000012345.1.fna	Phase 5.0 main: Pelagibacter ubique HTCC1062 [marine_user_interest]. biomass=Gram_neg
GCF_000012525.1	data/genomes/phase5_0/GCF_000012525.1.fna	Phase 5.0 main: Synechococcus elongatus PCC 7942 [phototrophy]. biomass=Gram_neg
GCF_000012865.1	data/genomes/phase5_0/GCF_000012865.1.fna	Phase 5.0 main: Carboxydothermus hydrogenoformans Z-2901 [carbon_fixation]. biomass=Gram_neg
GCF_000012905.2	data/genomes/phase5_0/GCF_000012905.2.fna	Phase 5.0 main: Rhodobacter sphaeroides 2.4.1 [phototrophy]. biomass=Gram_neg
GCF_000012925.1	data/genomes/phase5_0/GCF_000012925.1.fna	Phase 5.0 main: Geobacter metallireducens GS-15 [iron_metals]. biomass=Gram_neg
GCF_000013085.1	data/genomes/phase5_0/GCF_000013085.1.fna	Phase 5.0 main: Rhodospirillum rubrum ATCC 11170 [nitrogen_metabolism]. biomass=Gram_neg
GCF_000013385.1	data/genomes/phase5_0/GCF_000013385.1.fna	Phase 5.0 main: Anaeromyxobacter dehalogenans 2CP-C [iron_metals]. biomass=Gram_neg
GCF_000013405.1	data/genomes/phase5_0/GCF_000013405.1.fna	Phase 5.0 main: Syntrophus aciditrophicus SB [syntrophy]. biomass=Gram_neg
GCF_000013445.1	data/genomes/phase5_0/GCF_000013445.1.fna	Phase 5.0 main: Methanospirillum hungatei JF-1 [methane_metabolism]. biomass=Archaea
GCF_000013785.1	data/genomes/phase5_0/GCF_000013785.1.fna	Phase 5.0 main: Stutzerimonas stutzeri A1501 [nitrogen_metabolism]. biomass=Gram_neg
GCF_000013885.1	data/genomes/phase5_0/GCF_000013885.1.fna	Phase 5.0 main: Nitrobacter hamburgensis X14 [nitrogen_metabolism]. biomass=Gram_neg
GCF_000014725.1	data/genomes/phase5_0/GCF_000014725.1.fna	Phase 5.0 main: Syntrophomonas wolfei subsp. wolfei Goettingen G311 [syntrophy]. biomass=Gram_neg
GCF_000014765.1	data/genomes/phase5_0/GCF_000014765.1.fna	Phase 5.0 main: Nitrosomonas eutropha C91 [nitrogen_metabolism]. biomass=Gram_neg
GCF_000014865.1	data/genomes/phase5_0/GCF_000014865.1.fna	Phase 5.0 main: Magnetococcus marinus MC-1 [marine_user_interest]. biomass=Gram_neg
GCF_000014965.1	data/genomes/phase5_0/GCF_000014965.1.fna	Phase 5.0 main: Syntrophobacter fumaroxidans MPOB [syntrophy]. biomass=Gram_neg
GCF_000015765.1	data/genomes/phase5_0/GCF_000015765.1.fna	Phase 5.0 main: Methanocorpusculum labreanum Z [methane_metabolism]. biomass=Archaea
GCF_000016525.1	data/genomes/phase5_0/GCF_000016525.1.fna	Phase 5.0 main: Methanobrevibacter smithii ATCC 35061 [methane_metabolism]. biomass=Archaea
GCF_000017805.1	data/genomes/phase5_0/GCF_000017805.1.fna	Phase 5.0 main: Roseiflexus castenholzii DSM 13941 [phototrophy]. biomass=Gram_neg
GCF_000017845.1	data/genomes/phase5_0/GCF_000017845.1.fna	Phase 5.0 main: Crocosphaera subtropica ATCC 51142 [nitrogen_metabolism]. biomass=Gram_neg
GCF_000017945.1	data/genomes/phase5_0/GCF_000017945.1.fna	Phase 5.0 main: Ignicoccus hospitalis KIN4/I [carbon_fixation]. biomass=Archaea
GCF_000018305.1	data/genomes/phase5_0/GCF_000018305.1.fna	Phase 5.0 main: Caldivirga maquilingensis IC-167 [extreme_archaea]. biomass=Archaea
GCF_000018405.1	data/genomes/phase5_0/GCF_000018405.1.fna	Phase 5.0 main: Desulfosudis oleivorans Hxd3 [sulfate_reduction]. biomass=Gram_neg
GCF_000018465.1	data/genomes/phase5_0/GCF_000018465.1.fna	Phase 5.0 main: Nitrosopumilus maritimus SCM1 [nitrogen_metabolism]. biomass=Archaea
GCF_000019125.1	data/genomes/phase5_0/GCF_000019125.1.fna	Phase 5.0 main: Pseudomonas putida GB-1 [manganese_metabolism]. biomass=Gram_neg
GCF_000019165.1	data/genomes/phase5_0/GCF_000019165.1.fna	Phase 5.0 main: Heliomicrobium modesticaldum Ice1 [phototrophy]. biomass=Gram_neg
GCF_000019665.1	data/genomes/phase5_0/GCF_000019665.1.fna	Phase 5.0 main: Methylacidiphilum infernorum V4 [methane_metabolism]. biomass=Gram_neg
GCF_000020005.1	data/genomes/phase5_0/GCF_000020005.1.fna	Phase 5.0 main: Natranaerobius thermophilus JW/NM-WN-LF [halophile_alkaliphile]. biomass=Gram_neg
