
Inhibitor,Target_metabolism_or_organism,Mechanism_or_notes,Citation
Molybdate (MoO4^2−),Dissimilatory sulfate reduction (sulfate‐reducing microorganisms),"Sulfate analog that competitively inhibits the enzyme sulfate adenylyl transferase (Sat); molybdate and other oxyanions (tungstate, selenate, arsenate, chromate) act as analogs of sulfate and inhibit Sat, halting energy conservation in sulfate reducers. Perchlorate shows highest affinity while nitrate is lowest.","ISME Communications 2021 notes that sulfate analogs such as molybdate, tungstate, selenate, arsenate and chromate and oxyanions like nitrate, chlorate and perchlorate are the best‑studied inhibitors of dissimilatory sulfate‑reducing microorganisms; these compounds inhibit sulfate adenylyl transferase, and perchlorate has the highest affinity while nitrate has the lowesthttps://pmc.ncbi.nlm.nih.gov/articles/PMC9723548/#:~:text=Selective%20inhibitors%20of%20dissimilatory%20sulfate,5%20%2C%20%2032."
Tungstate (WO4^2−),Dissimilatory sulfate reduction (sulfate reducers),"Sulfate analog that competes with sulfate for the Sat enzyme, inhibiting energy metabolism in sulfate‑reducing bacteria.","ISME Communications 2021 identifies tungstate with other oxyanions (molybdate, selenate, chromate, arsenate) as selective inhibitors of sulfate reducers through inhibition of sulfate adenylyl transferasehttps://pmc.ncbi.nlm.nih.gov/articles/PMC9723548/#:~:text=Selective%20inhibitors%20of%20dissimilatory%20sulfate,5%20%2C%20%2032."
Selenate (SeO4^2−),Dissimilatory sulfate reduction,"Acts as a sulfate analog that binds to sulfate adenylyl transferase, blocking sulfate activation and inhibiting growth.",The same 2021 study lists selenate among sulfate analogs that inhibit sulfate adenylyl transferase in sulfate‑reducing microorganismshttps://pmc.ncbi.nlm.nih.gov/articles/PMC9723548/#:~:text=Selective%20inhibitors%20of%20dissimilatory%20sulfate,5%20%2C%20%2032.
Arsenate (AsO4^3−),Dissimilatory sulfate reduction,Sulfate analog; inhibits sulfate adenylyl transferase and thus energy metabolism of sulfate‑reducing bacteria.,The sulfate adenylyl transferase study states that arsenate and other sulfate analogs inhibit sulfate reducers by acting on Sathttps://pmc.ncbi.nlm.nih.gov/articles/PMC9723548/#:~:text=Selective%20inhibitors%20of%20dissimilatory%20sulfate,5%20%2C%20%2032.
Chromate (CrO4^2−),Dissimilatory sulfate reduction,"Chromate is a sulfate analog; competitive inhibitor of sulfate adenylyl transferase, reducing sulfate reduction.",Chromate is included among oxyanion inhibitors of sulfate reducers that act by inhibiting sulfate adenylyl transferasehttps://pmc.ncbi.nlm.nih.gov/articles/PMC9723548/#:~:text=Selective%20inhibitors%20of%20dissimilatory%20sulfate,5%20%2C%20%2032.
Nitrate (NO3−),Sulfate reduction (competitive with sulfate),An oxyanion that competes with sulfate for the Sat enzyme; has a relatively low affinity (higher IC50) but still inhibits sulfate reduction.,"The ISME Communications study notes that nitrate, chlorate and perchlorate are inhibitors of dissimilatory sulfate‑reducing microorganisms by targeting sulfate adenylyl transferase; nitrate has the lowest affinity among these inhibitorshttps://pmc.ncbi.nlm.nih.gov/articles/PMC9723548/#:~:text=Selective%20inhibitors%20of%20dissimilatory%20sulfate,5%20%2C%20%2032."
Chlorate (ClO3−),Sulfate reduction; nitrification (nitrite oxidizers),"For sulfate reducers, chlorate is an oxyanion inhibitor of sulfate adenylyl transferase. For nitrification, chlorate specifically inhibits the second step (oxidation of nitrite to nitrate) by acting as a substrate analogue for nitrite oxidoreductase, causing accumulation of nitrite and inhibiting comammox Nitrospira growth.","The sulfate adenylyl transferase paper lists chlorate as one of the oxyanions that inhibit sulfate‑reducing microorganismshttps://pmc.ncbi.nlm.nih.gov/articles/PMC9723548/#:~:text=Selective%20inhibitors%20of%20dissimilatory%20sulfate,5%20%2C%20%2032. A 2024 Frontiers in Microbiology article explains that chlorate specifically inhibits the second step of nitrification, the oxidation of NO₂⁻ to NO₃⁻, and is used in vitro to reveal contributions of different nitrifiershttps://pmc.ncbi.nlm.nih.gov/articles/PMC11130707/#:~:text=Di%20et%20al,The%20effect%20of."
Perchlorate (ClO4−),Sulfate reduction,Perchlorate competes with sulfate for sulfate adenylyl transferase; among oxyanion inhibitors it has the highest affinity (IC₅₀ ~0.14 mM) and strongly inhibits sulfate‑reducing bacteria.,"According to the ISME Communications study, perchlorate is the most potent sulfate analog inhibitor of sulfate adenylyl transferase, with a low IC₅₀, while nitrate is the weakesthttps://pmc.ncbi.nlm.nih.gov/articles/PMC9723548/#:~:text=Selective%20inhibitors%20of%20dissimilatory%20sulfate,5%20%2C%20%2032."
Allylthiourea (ATU),Ammonia oxidation (nitrification) by ammonia‑oxidizing bacteria (AOB),"Copper‑chelating nitrification inhibitor that binds the ammonia monooxygenase (AMO) enzyme; at ~86 µM it completely inhibited ammonia oxidation and N₂O emission in activated sludge, and it decreases AOB abundance and activity in soils.","A study on selective inhibition of nitrification reports that 86 µM allylthiourea completely inhibited ammonia oxidation and N₂O emissionhttps://pubmed.ncbi.nlm.nih.gov/23648864/#:~:text=Nitrification%20in%20wastewater%20treatment%20emits,The%20inhibition. The AMO inhibition mechanism is further supported by evidence that allylthiourea, a copper chelator, inhibits the bacterial ammonia monooxygenasehttps://pmc.ncbi.nlm.nih.gov/articles/PMC7170481/#:~:text=different%20nuclearities%20located%20on%20separate,50%E2%80%93%20%2052."
Sodium azide (NaN₃),Nitrite oxidation (nitrifying bacteria),"Electron transport inhibitor; at 24 µM it selectively inhibits nitrite oxidation without affecting ammonia oxidation, leading to accumulation of nitrite.","In activated sludge and enrichment cultures, 24 µM sodium azide selectively inhibited nitrite oxidation while ammonia oxidation and N₂O emission continuedhttps://pubmed.ncbi.nlm.nih.gov/23648864/#:~:text=Nitrification%20in%20wastewater%20treatment%20emits,The%20inhibition."
