gid	claimed_organism	top_match_lineage	containment	category	category_rationale	needs_action	top_match_genus	top_match_species	query_name_from_fasta	rename_source
9	AUDIT CORRECTION: re-process for gid=9 (was T. thermophilus HB8 from start). Cluster gapseq via SLURM array 227930. biomass=Gram_neg [AUDIT CORRECTION 2026-05-05: re-downloaded + re-processed; previously gid=9 had wrong-genome data loaded from project start. Pre-correction state preserved in data/cultureforge.db.pre_audit_correction_20260504]	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus aquaticus	1.0	CLEAN_SELF_MATCH	Claimed genus 'Thermus' matches top-hit genus exactly; containment 1.000.	N	Thermus	Thermus aquaticus	NZ_LHCI01000001.1 Thermus aquaticus strain YT-1 jcf7180000008080, whole genome shotgun sequence	
8	Validation organism: Methanococcus_jannaschii	d__Archaea;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus jannaschii	1.0	KNOWN_TAXONOMIC_RENAME	Formal genus reclassification: 'Methanococcus' -> 'Methanocaldococcus' (Whitman et al. 2002). Not curator-flagged in notes; documentation update suggested.	N	Methanocaldococcus	Methanocaldococcus jannaschii	NC_000909.1 Methanocaldococcus jannaschii DSM 2661, complete sequence	curator-flagged
7	Desulfovibrio (Nitratidesulfovibrio) vulgaris Hildenborough. Strict anaerobe, sulfate reducer. DSM 644.	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Nitratidesulfovibrio;s__Nitratidesulfovibrio vulgaris	1.0	CLEAN_SELF_MATCH	Claimed genus 'Nitratidesulfovibrio' matches top-hit genus exactly; containment 1.000.	N	Nitratidesulfovibrio	Nitratidesulfovibrio vulgaris	NC_002937.3 Nitratidesulfovibrio vulgaris str. Hildenborough, complete sequence	
10	Validation organism: Lactobacillus_plantarum [TAXONOMIC RENAME: Lactobacillus plantarum → Lactiplantibacillus plantarum (Zheng et al. 2020 IJSEM); genome unchanged; annotation added by Phase 5.0 audit 2026-05-04]	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	0.7857590966122961	KNOWN_TAXONOMIC_RENAME	Formal genus reclassification: 'Lactobacillus' -> 'Lactiplantibacillus' (Zheng et al. 2020). Curator-flagged in notes.	N	Lactiplantibacillus	Lactiplantibacillus plantarum	NC_004567.2 Lactiplantibacillus plantarum WCFS1, complete sequence	curator-flagged
11	Validation organism: Acidithiobacillus_ferrooxidans	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus ferrooxidans	1.0	CLEAN_SELF_MATCH	Claimed genus 'Acidithiobacillus' matches top-hit genus exactly; containment 1.000.	N	Acidithiobacillus	Acidithiobacillus ferrooxidans	NC_011761.1 Acidithiobacillus ferrooxidans ATCC 23270, complete sequence	
12	Validation organism: Clostridium_acetobutylicum	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_S;s__Clostridium_S acetobutylicum	1.0	GTDB_SUFFIX_SPLIT	GTDB has split the polyphyletic genus 'Clostridium' into sub-genera using letter suffixes; this genome falls into 'Clostridium_S'. Species name aligns.	N	Clostridium_S	Clostridium_S acetobutylicum	NC_003030.1 Clostridium acetobutylicum ATCC 824, complete sequence	
14	Validation organism: Sulfolobus_acidocaldarius	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius	1.0	CLEAN_SELF_MATCH	Claimed genus 'Sulfolobus' matches top-hit genus exactly; containment 1.000.	N	Sulfolobus	Sulfolobus acidocaldarius	NC_007181.1 Sulfolobus acidocaldarius DSM 639, complete sequence	
15	Validation organism: Campylobacter_jejuni	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni	0.5872727272727273	GTDB_SUFFIX_SPLIT	GTDB has split the polyphyletic genus 'Campylobacter' into sub-genera using letter suffixes; this genome falls into 'Campylobacter_D'. Species name aligns.	N	Campylobacter_D	Campylobacter_D jejuni	NC_002163.1 Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 chromosome, complete genome	
13	"Validation organism: Geobacter_sulfurreducens [METADATA CLEANUP: NCBI returns G. sulfurreducens PCA (the type strain). The ""subsp. ethanolicus"" designation in original notes was annotation drift; PCA is correct organism. Annotation by Phase 5.0 audit 2026-05-04]"	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__Geobacter sulfurreducens	1.0	CLEAN_SELF_MATCH	Claimed genus 'Geobacter' matches top-hit genus exactly; containment 1.000.	N	Geobacter	Geobacter sulfurreducens	NC_002939.5 Geobacter sulfurreducens PCA, complete sequence	
17	AUDIT CORRECTION: re-process for gid=17 (was Sulfurovum NBC37-1 from start). Cluster gapseq via SLURM array 227930. biomass=Gram_neg [AUDIT CORRECTION 2026-05-05: re-downloaded + re-processed; previously gid=17 had wrong-genome data loaded from project start. Pre-correction state preserved in data/cultureforge.db.pre_audit_correction_20260504]	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas denitrificans	1.0	CLEAN_SELF_MATCH	Claimed genus 'Sulfurimonas' matches top-hit genus exactly; containment 1.000.	N	Sulfurimonas	Sulfurimonas denitrificans	NC_007575.1 Sulfurimonas denitrificans DSM 1251, complete sequence	
16	Validation organism: Magnetospirillum_magneticum [TAXONOMIC RENAME: Magnetospirillum magneticum AMB-1 → Paramagnetospirillum magneticum AMB-1 (Lefèvre et al. 2020); genome unchanged; annotation added by Phase 5.0 audit 2026-05-04]	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Paramagnetospirillum;s__Paramagnetospirillum magneticum	1.0	KNOWN_TAXONOMIC_RENAME	Formal genus reclassification: 'Magnetospirillum' -> 'Paramagnetospirillum' (Lin et al. 2020). Curator-flagged in notes.	N	Paramagnetospirillum	Paramagnetospirillum magneticum	NC_007626.1 Paramagnetospirillum magneticum AMB-1, complete sequence	curator-flagged
18	Blind validation: Nitrosomonas_europaea	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	0.9967177242888403	CLEAN_SELF_MATCH	Claimed genus 'Nitrosomonas' matches top-hit genus exactly; containment 0.997.	N	Nitrosomonas	Nitrosomonas europaea	NC_004757.1 Nitrosomonas europaea ATCC 19718, complete sequence	
19	Blind validation: Rhodopseudomonas_palustris	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas palustris_F	0.5336173365438044	CLEAN_SELF_MATCH	Claimed genus 'Rhodopseudomonas' matches top-hit genus exactly; containment 0.534.	N	Rhodopseudomonas	Rhodopseudomonas palustris_F	NC_005296.1 Rhodopseudomonas palustris CGA009, complete sequence	
20	Blind validation: Halobacterium_salinarum	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum	0.8458478368970661	CLEAN_SELF_MATCH	Claimed genus 'Halobacterium' matches top-hit genus exactly; containment 0.846.	N	Halobacterium	Halobacterium salinarum	NC_002607.1 Halobacterium salinarum NRC-1, complete sequence	
21	Blind validation: Syntrophomonas_wolfei	d__Bacteria;p__Bacillota;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__Syntrophomonas;s__Syntrophomonas wolfei	1.0	CLEAN_SELF_MATCH	Claimed genus 'Syntrophomonas' matches top-hit genus exactly; containment 1.000.	N	Syntrophomonas	Syntrophomonas wolfei	NC_008346.1 Syntrophomonas wolfei subsp. wolfei str. Goettingen G311, complete sequence	
22	Blind validation: Acetobacterium_woodii	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Acetobacterium;s__Acetobacterium woodii	1.0	CLEAN_SELF_MATCH	Claimed genus 'Acetobacterium' matches top-hit genus exactly; containment 1.000.	N	Acetobacterium	Acetobacterium woodii	NC_016894.1 Acetobacterium woodii DSM 1030, complete sequence	
23	Blind v2: Nitrospira_moscoviensis	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_D;s__Nitrospira_D moscoviensis	1.0	GTDB_SUFFIX_SPLIT	GTDB has split the polyphyletic genus 'Nitrospira' into sub-genera using letter suffixes; this genome falls into 'Nitrospira_D'. Species name aligns.	N	Nitrospira_D	Nitrospira_D moscoviensis	NZ_CP011801.1 Nitrospira moscoviensis strain NSP M-1 chromosome, complete genome	
